#: table_doi: 10.17182/hepdata.58994.v1/t26
#: name: Table 26
#: description: Measurements of the fourth-order elliptic anisotropy parameter using the cumulant method, V2(C4) v PT for the centrality range 10-15%.

#: data_file: Table26.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],10.0-15.0
#: ABS(ETARAP),< 0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(C=C4)','stat +','stat -','sys +','sys -'
0.351,0.0236,0.00011,-0.00011,0.00109,-0.00109
0.449,0.0321,0.00011,-0.00011,0.00148,-0.00148
0.549,0.0399,0.00012,-0.00012,0.00181,-0.00181
0.694,0.0499,0.0001,-0.0001,0.00227,-0.00227
0.894,0.0629,0.00012,-0.00012,0.00286,-0.00286
1.09,0.0739,0.00015,-0.00015,0.00335,-0.00335
1.38,0.0881,0.00014,-0.00014,0.004,-0.004
1.76,0.1052,0.0002,-0.0002,0.00478,-0.00478
2.21,0.1216,0.0003,-0.0003,0.00552,-0.00552
2.71,0.1326,0.00047,-0.00047,0.00602,-0.00602
3.21,0.1373,0.00074,-0.00074,0.00623,-0.00623
3.72,0.1318,0.00115,-0.00115,0.00598,-0.00598
4.38,0.1221,0.0014,-0.0014,0.00554,-0.00554
5.41,0.1018,0.00266,-0.00266,0.00462,-0.00462
6.75,0.0639,0.00356,-0.00356,0.0029,-0.0029
8.83,0.0417,0.00684,-0.00684,0.00189,-0.00189
10.9,0.0325,0.0112,-0.0112,0.0015,-0.0015
13.5,0.0354,0.0136,-0.0136,0.0016,-0.0016
18.3,0.0507,0.023,-0.023,0.0023,-0.0023

