#: table_doi: 10.17182/hepdata.58994.v1/t45
#: name: Table 45
#: description: Pseudorapidity dependence of V2 for centrality 5-10%.

#: data_file: Table45.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: PT [GeV],0.3-3.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],5.0-10.0
#: SQRT(S)/NUCLEON [GeV],2760.0
'ETARAP','V2(V=EP)','stat +','stat -','sys +','sys -'
-2.19,0.04261,0.00015,-0.00015,0.00013,-0.00013
-1.79,0.04183,0.00012,-0.00012,0.00011,-0.00011
-1.39,0.04325,8e-05,-8e-05,7e-05,-7e-05
-0.996,0.0442,7e-05,-7e-05,6e-05,-6e-05
-0.597,0.04491,7e-05,-7e-05,6e-05,-6e-05
-0.2,0.04503,6e-05,-6e-05,6e-05,-6e-05
0.198,0.04501,7e-05,-7e-05,6e-05,-6e-05
0.596,0.04491,7e-05,-7e-05,6e-05,-6e-05
0.995,0.0444,7e-05,-7e-05,6e-05,-6e-05
1.39,0.04345,8e-05,-8e-05,7e-05,-7e-05
1.78,0.04215,0.00012,-0.00012,0.00011,-0.00011
2.18,0.04223,0.00015,-0.00015,0.00014,-0.00014

#: PT [GeV],0.3-3.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],5.0-10.0
#: SQRT(S)/NUCLEON [GeV],2760.0
'ETARAP',' V2(V=C2)','stat +','stat -','sys +','sys -'
-2.19,0.0448,0.00026,-0.00026,0.0001,-0.0001
-1.79,0.0463,0.0002,-0.0002,8e-05,-8e-05
-1.39,0.0463,0.00014,-0.00014,6.2e-05,-6.2e-05
-0.996,0.047,0.00012,-0.00012,5.6e-05,-5.6e-05
-0.597,0.0478,0.00012,-0.00012,5.4e-05,-5.4e-05
-0.2,0.0486,0.00011,-0.00011,5.2e-05,-5.2e-05
0.198,0.049,0.00012,-0.00012,5.3e-05,-5.3e-05
0.596,0.0488,0.00012,-0.00012,5.5e-05,-5.5e-05
0.995,0.0477,0.00013,-0.00013,5.7e-05,-5.7e-05
1.39,0.0463,0.00015,-0.00015,6.4e-05,-6.4e-05
1.78,0.0401,0.00021,-0.00021,8.1e-05,-8.1e-05
2.18,0.0408,0.00026,-0.00026,9.8e-05,-9.8e-05

#: PT [GeV],0.3-3.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],5.0-10.0
#: SQRT(S)/NUCLEON [GeV],2760.0
'ETARAP',' V2(V=C4)','stat +','stat -','sys +','sys -'
-2.19,0.0356,0.00017,-0.00017,0.00012,-0.00012
-1.79,0.0355,0.00014,-0.00014,0.0001,-0.0001
-1.39,0.0351,0.00011,-0.00011,8e-05,-8e-05
-0.996,0.036,0.0001,-0.0001,7e-05,-7e-05
-0.597,0.0365,9e-05,-9e-05,7e-05,-7e-05
-0.2,0.0362,9e-05,-9e-05,7e-05,-7e-05
0.198,0.0353,9e-05,-9e-05,7e-05,-7e-05
0.596,0.0364,0.0001,-0.0001,7e-05,-7e-05
0.995,0.0361,0.0001,-0.0001,7e-05,-7e-05
1.39,0.0362,0.00011,-0.00011,8e-05,-8e-05
1.78,0.0359,0.00014,-0.00014,0.0001,-0.0001
2.18,0.0346,0.00017,-0.00017,0.00012,-0.00012

#: PT [GeV],0.3-3.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],5.0-10.0
#: SQRT(S)/NUCLEON [GeV],2760.0
'ETARAP',' V2(V=LYZ)','stat +','stat -','sys +','sys -'
-2.19,0.035816,0.000304,-0.000304,0.000304,-0.000304
-1.79,0.036498,0.00024,-0.00024,0.00024,-0.00024
-1.39,0.035437,0.000169,-0.000169,0.000169,-0.000169
-0.996,0.035361,0.000147,-0.000147,0.000147,-0.000147
-0.597,0.035613,0.00014,-0.00014,0.00014,-0.00014
-0.2,0.036314,0.000135,-0.000135,0.000135,-0.000135
0.198,0.036022,0.000136,-0.000136,0.000136,-0.000136
0.596,0.035987,0.000142,-0.000142,0.000142,-0.000142
0.995,0.035343,0.00015,-0.00015,0.00015,-0.00015
1.39,0.035249,0.000173,-0.000173,0.000173,-0.000173
1.78,0.035763,0.000244,-0.000244,0.000244,-0.000244
2.18,0.034685,0.000308,-0.000308,0.000308,-0.000308

