#: table_doi: 10.17182/hepdata.58994.v1/t36
#: name: Table 36
#: description: Measurements of the elliptic anisotropy parameter using the Lee-Yang zeros method, V2(LYZ) v PT for the centrality range 10-15%.

#: data_file: Table36.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],10.0-15.0
#: ABS(ETARAP),< 0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(C=LYZ)','stat +','stat -','sys +','sys -'
0.351,0.024285,0.000118,-0.000118,0.000534,-0.000534
0.449,0.031992,0.000119,-0.000119,0.000703,-0.000703
0.549,0.039451,0.000125,-0.000125,0.000695,-0.000695
0.694,0.049249,9.9e-05,-9.9e-05,0.000867,-0.000867
0.894,0.06134,0.00012,-0.00012,0.00108,-0.00108
1.09,0.07224,0.00014,-0.00014,0.00127,-0.00127
1.38,0.08512,0.00013,-0.00013,0.0015,-0.0015
1.76,0.10158,0.0002,-0.0002,0.00179,-0.00179
2.21,0.11663,0.00031,-0.00031,0.00205,-0.00205
2.71,0.12795,0.0005,-0.0005,0.00225,-0.00225
3.21,0.13244,0.0008,-0.0008,0.00233,-0.00233
3.72,0.13009,0.00124,-0.00124,0.00229,-0.00229
4.38,0.11971,0.00151,-0.00151,0.00211,-0.00211
5.41,0.0929,0.00287,-0.00287,0.00164,-0.00164
6.75,0.06708,0.00384,-0.00384,0.00118,-0.00118
8.82,0.05369,0.0074,-0.0074,0.00095,-0.00095
10.9,0.0559,0.012,-0.012,0.001,-0.001
13.5,0.0568,0.0146,-0.0146,0.001,-0.001
18.3,0.0622,0.0246,-0.0246,0.0011,-0.0011

