#: table_doi: 10.17182/hepdata.58994.v1/t18
#: name: Table 18
#: description: Measurements of the second-order elliptic anisotropy parameter using the cumulant method, V2(C2) v PT for the centrality range 25-30%.

#: data_file: Table18.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],25.0-30.0
#: ABS(ETARAP),< 0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(C=C2)','stat +','stat -','sys +','sys -'
0.351,0.0427,0.00011,-0.00011,0.0018,-0.0018
0.449,0.059,0.00011,-0.00011,0.00248,-0.00248
0.549,0.0745,0.00011,-0.00011,0.00313,-0.00313
0.694,0.0927,9e-05,-9e-05,0.0039,-0.0039
0.894,0.1161,0.00011,-0.00011,0.00488,-0.00488
1.09,0.1341,0.00013,-0.00013,0.00564,-0.00564
1.38,0.1666,0.00013,-0.00013,0.00701,-0.00701
1.76,0.1968,0.00019,-0.00019,0.00828,-0.00828
2.21,0.2252,0.00028,-0.00028,0.00947,-0.00947
2.71,0.2415,0.0004,-0.0004,0.0102,-0.0102
3.21,0.2461,0.0007,-0.0007,0.0104,-0.0104
4.0,0.22968,0.00115,-0.00115,0.00966,-0.00966
5.41,0.1792,0.00231,-0.00231,0.00754,-0.00754
6.76,0.1706,0.00305,-0.00305,0.00718,-0.00718
8.82,0.1426,0.00589,-0.00589,0.006,-0.006
10.9,0.1346,0.00974,-0.00974,0.00566,-0.00566
13.5,0.151,0.0121,-0.0121,0.0064,-0.0064
18.2,0.2242,0.0197,-0.0197,0.0094,-0.0094

