#: table_doi: 10.17182/hepdata.58994.v1/t75
#: name: Table 75
#: description: PT dependence of V2(EP) for centrality 50-60% and |eta| ranges 1.2-1.6, 1.6-2.0 and 2.0-2.4.

#: data_file: Table75.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),1.2-1.6
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.048353,0.00035,-0.00035,0.000725,-0.000725
0.451,0.065765,0.000334,-0.000334,0.000986,-0.000986
0.55,0.08167,0.00034,-0.00034,0.00123,-0.00123
0.698,0.10354,0.00026,-0.00026,0.00155,-0.00155
0.896,0.12837,0.00031,-0.00031,0.00193,-0.00193
1.09,0.14934,0.00037,-0.00037,0.00224,-0.00224
1.39,0.17209,0.00034,-0.00034,0.00258,-0.00258
1.76,0.1955,0.00055,-0.00055,0.00293,-0.00293
2.21,0.21051,0.00093,-0.00093,0.00316,-0.00316
2.71,0.21409,0.00148,-0.00148,0.00321,-0.00321
3.22,0.20639,0.00224,-0.00224,0.0031,-0.0031

#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),1.6-2.0
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.047698,0.000556,-0.000556,0.000715,-0.000715
0.451,0.063578,0.000502,-0.000502,0.000954,-0.000954
0.55,0.08094,0.00049,-0.00049,0.00121,-0.00121
0.698,0.10159,0.00035,-0.00035,0.00152,-0.00152
0.896,0.12722,0.00039,-0.00039,0.00191,-0.00191
1.09,0.14805,0.00045,-0.00045,0.00222,-0.00222
1.39,0.17177,0.0004,-0.0004,0.00258,-0.00258
1.76,0.19491,0.00056,-0.00056,0.00292,-0.00292
2.21,0.20812,0.00088,-0.00088,0.00312,-0.00312
2.71,0.20992,0.00141,-0.00141,0.00315,-0.00315
3.22,0.20189,0.00215,-0.00215,0.00303,-0.00303

#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),2.0-2.4
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.047752,0.000727,-0.000727,0.000716,-0.000716
0.451,0.064616,0.000646,-0.000646,0.000969,-0.000969
0.55,0.0803,0.00062,-0.00062,0.0012,-0.0012
0.698,0.10076,0.00044,-0.00044,0.00151,-0.00151
0.896,0.12531,0.00048,-0.00048,0.00188,-0.00188
1.09,0.14654,0.00054,-0.00054,0.0022,-0.0022
1.39,0.16947,0.00047,-0.00047,0.00254,-0.00254
1.76,0.19165,0.00062,-0.00062,0.00287,-0.00287
2.21,0.20521,0.00096,-0.00096,0.00308,-0.00308
2.71,0.20832,0.00155,-0.00155,0.00312,-0.00312
3.22,0.19495,0.00237,-0.00237,0.00292,-0.00292

