#: table_doi: 10.17182/hepdata.58994.v1/t80
#: name: Table 80
#: description: Measurements of the elliptic anisotropy parameter using the event-plane method, V2(EP) v PT for the centrality range 0-10%.

#: data_file: Table80.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],0.0-10.0
#: ABS(ETARAP),< 0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(C=EP)','stat +','stat -','sys +','sys -'
0.253,0.0136,6.8e-05,-6.8e-05,0.000204,-0.000204
0.351,0.017,6.1e-05,-6.1e-05,0.000255,-0.000255
0.449,0.0219,6.1e-05,-6.1e-05,0.000329,-0.000329
0.549,0.0268,6.4e-05,-6.4e-05,0.000402,-0.000402
0.694,0.0332,5.1e-05,-5.1e-05,0.000498,-0.000498
0.894,0.0411,6.1e-05,-6.1e-05,0.000616,-0.000616
1.09,0.0483,7.4e-05,-7.4e-05,0.000725,-0.000725
1.38,0.057,6.9e-05,-6.9e-05,0.000855,-0.000855
1.76,0.0676,0.00011,-0.00011,0.00101,-0.00101
2.21,0.0791,0.00016,-0.00016,0.00119,-0.00119
2.71,0.0877,0.00026,-0.00026,0.00132,-0.00132
3.21,0.0916,0.00043,-0.00043,0.00137,-0.00137
3.71,0.0927,0.00067,-0.00067,0.00139,-0.00139
4.38,0.0838,0.00083,-0.00083,0.00126,-0.00126
5.41,0.0659,0.0016,-0.0016,0.00099,-0.00099
6.75,0.0463,0.00215,-0.00215,0.00069,-0.00069
8.83,0.0418,0.00415,-0.00415,0.00063,-0.00063
10.9,0.0287,0.0067,-0.0067,0.00043,-0.00043
13.6,0.0242,0.00815,-0.00815,0.00036,-0.00036
18.3,0.0142,0.0134,-0.0134,0.0002,-0.0002

