#: table_doi: 10.17182/hepdata.58994.v1/t22
#: name: Table 22
#: description: Measurements of the second-order elliptic anisotropy parameter using the cumulant method, V2(C2) v PT for the centrality range 50-60%.

#: data_file: Table22.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],50.0-60.0
#: ABS(ETARAP),< 0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(C=C2)','stat +','stat -','sys +','sys -'
0.35,0.05081,0.00017,-0.00017,0.00213,-0.00213
0.449,0.07186,0.00018,-0.00018,0.00301,-0.00301
0.549,0.091,0.00019,-0.00019,0.00381,-0.00381
0.693,0.11404,0.00016,-0.00016,0.00478,-0.00478
0.893,0.14304,0.00019,-0.00019,0.00599,-0.00599
1.09,0.16312,0.00024,-0.00024,0.00683,-0.00683
1.38,0.20107,0.00023,-0.00023,0.00842,-0.00842
1.76,0.22858,0.00034,-0.00034,0.00958,-0.00958
2.21,0.2514,0.0005,-0.0005,0.0105,-0.0105
2.71,0.2598,0.0008,-0.0008,0.0109,-0.0109
3.22,0.2572,0.0012,-0.0012,0.0108,-0.0108
4.01,0.2495,0.0018,-0.0018,0.0105,-0.0105
5.42,0.236,0.0034,-0.0034,0.00989,-0.00989
6.75,0.2556,0.0044,-0.0044,0.0107,-0.0107
8.82,0.2633,0.0086,-0.0086,0.011,-0.011
10.9,0.2463,0.0145,-0.0145,0.0103,-0.0103
13.5,0.2834,0.018,-0.018,0.0119,-0.0119
18.2,0.3726,0.032,-0.032,0.0156,-0.0156

