#: table_doi: 10.17182/hepdata.58994.v1/t16
#: name: Table 16
#: description: Measurements of the second-order elliptic anisotropy parameter using the cumulant method, V2(C2) v PT for the centrality range 15-20%.

#: data_file: Table16.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],15.0-20.0
#: ABS(ETARAP),< 0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(C=C2)','stat +','stat -','sys +','sys -'
0.351,0.0349,9e-05,-9e-05,0.00147,-0.00147
0.449,0.0476,9e-05,-9e-05,0.002,-0.002
0.549,0.0597,9e-05,-9e-05,0.00251,-0.00251
0.694,0.0742,7e-05,-7e-05,0.00312,-0.00312
0.894,0.0927,9e-05,-9e-05,0.0039,-0.0039
1.09,0.1073,0.00011,-0.00011,0.00451,-0.00451
1.38,0.1334,0.0001,-0.0001,0.00561,-0.00561
1.76,0.1585,0.00015,-0.00015,0.00667,-0.00667
2.21,0.1839,0.00023,-0.00023,0.00773,-0.00773
2.71,0.2013,0.00037,-0.00037,0.00847,-0.00847
3.21,0.2066,0.00058,-0.00058,0.00869,-0.00869
3.99,0.19684,0.00096,-0.00096,0.00828,-0.00828
5.41,0.151,0.00201,-0.00201,0.00635,-0.00635
6.75,0.1432,0.00269,-0.00269,0.00602,-0.00602
8.82,0.1213,0.00521,-0.00521,0.0051,-0.0051
10.9,0.1106,0.00852,-0.00852,0.00465,-0.00465
13.6,0.0945,0.0105,-0.0105,0.004,-0.004
18.3,0.1564,0.0172,-0.0172,0.0066,-0.0066

