#: table_doi: 10.17182/hepdata.58994.v1/t73
#: name: Table 73
#: description: PT dependence of V2(EP) for centrality 40-50% and |eta| ranges 1.2-1.6, 1.6-2.0 and 2.0-2.4.

#: data_file: Table73.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),1.2-1.6
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.048511,0.000224,-0.000224,0.000728,-0.000728
0.451,0.064874,0.000212,-0.000212,0.000973,-0.000973
0.55,0.08019,0.00021,-0.00021,0.0012,-0.0012
0.698,0.10142,0.00016,-0.00016,0.00152,-0.00152
0.896,0.12611,0.00019,-0.00019,0.00189,-0.00189
1.09,0.14794,0.00023,-0.00023,0.00222,-0.00222
1.39,0.1716,0.00021,-0.00021,0.00257,-0.00257
1.76,0.19839,0.00034,-0.00034,0.00298,-0.00298
2.21,0.21993,0.00058,-0.00058,0.0033,-0.0033
2.71,0.22645,0.00092,-0.00092,0.0034,-0.0034
3.22,0.21933,0.00142,-0.00142,0.00329,-0.00329

#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),1.6-2.0
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.047112,0.000356,-0.000356,0.000707,-0.000707
0.451,0.064481,0.00032,-0.00032,0.000967,-0.000967
0.55,0.07965,0.00031,-0.00031,0.00119,-0.00119
0.698,0.10088,0.00022,-0.00022,0.00151,-0.00151
0.896,0.12492,0.00024,-0.00024,0.00187,-0.00187
1.09,0.14706,0.00028,-0.00028,0.00221,-0.00221
1.39,0.17152,0.00024,-0.00024,0.00257,-0.00257
1.76,0.1974,0.00035,-0.00035,0.00296,-0.00296
2.21,0.21808,0.00054,-0.00054,0.00327,-0.00327
2.71,0.22458,0.00088,-0.00088,0.00337,-0.00337
3.22,0.22091,0.00136,-0.00136,0.00331,-0.00331

#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),2.0-2.4
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.048313,0.000465,-0.000465,0.000725,-0.000725
0.451,0.063803,0.000411,-0.000411,0.000957,-0.000957
0.55,0.07917,0.00039,-0.00039,0.00119,-0.00119
0.698,0.10033,0.00028,-0.00028,0.00151,-0.00151
0.896,0.12476,0.0003,-0.0003,0.00187,-0.00187
1.09,0.14576,0.00033,-0.00033,0.00219,-0.00219
1.39,0.17035,0.00029,-0.00029,0.00256,-0.00256
1.76,0.19635,0.00038,-0.00038,0.00295,-0.00295
2.21,0.21695,0.0006,-0.0006,0.00325,-0.00325
2.71,0.22174,0.00097,-0.00097,0.00333,-0.00333
3.22,0.21663,0.00151,-0.00151,0.00325,-0.00325

