#: table_doi: 10.17182/hepdata.58994.v1/t67
#: name: Table 67
#: description: PT dependence of V2(EP) for centrality 25-30% and |eta| ranges 1.2-1.6, 1.6-2.0 and 2.0-2.4.

#: data_file: Table67.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),1.2-1.6
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.040697,0.000194,-0.000194,0.00061,-0.00061
0.451,0.054083,0.000182,-0.000182,0.000811,-0.000811
0.55,0.06714,0.00018,-0.00018,0.00101,-0.00101
0.698,0.08496,0.00014,-0.00014,0.00127,-0.00127
0.896,0.10605,0.00016,-0.00016,0.00159,-0.00159
1.09,0.12464,0.00019,-0.00019,0.00187,-0.00187
1.39,0.14692,0.00017,-0.00017,0.0022,-0.0022
1.76,0.1726,0.00027,-0.00027,0.00259,-0.00259
2.21,0.19813,0.00047,-0.00047,0.00297,-0.00297
2.71,0.2121,0.00076,-0.00076,0.00318,-0.00318
3.22,0.21423,0.0012,-0.0012,0.00321,-0.00321

#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),1.6-2.0
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.039035,0.000311,-0.000311,0.000586,-0.000586
0.451,0.053541,0.000276,-0.000276,0.000803,-0.000803
0.55,0.066283,0.000263,-0.000263,0.000994,-0.000994
0.698,0.08434,0.00019,-0.00019,0.00127,-0.00127
0.896,0.10536,0.0002,-0.0002,0.00158,-0.00158
1.09,0.12412,0.00023,-0.00023,0.00186,-0.00186
1.39,0.14698,0.0002,-0.0002,0.0022,-0.0022
1.76,0.17335,0.00028,-0.00028,0.0026,-0.0026
2.21,0.19672,0.00044,-0.00044,0.00295,-0.00295
2.71,0.21136,0.00072,-0.00072,0.00317,-0.00317
3.22,0.21471,0.00115,-0.00115,0.00322,-0.00322

#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),2.0-2.4
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.040109,0.000406,-0.000406,0.000602,-0.000602
0.451,0.053824,0.000354,-0.000354,0.000807,-0.000807
0.55,0.06689,0.00033,-0.00033,0.001,-0.001
0.698,0.08444,0.00023,-0.00023,0.00127,-0.00127
0.896,0.10574,0.00025,-0.00025,0.00159,-0.00159
1.09,0.12414,0.00027,-0.00027,0.00186,-0.00186
1.39,0.14671,0.00023,-0.00023,0.0022,-0.0022
1.76,0.17224,0.00031,-0.00031,0.00258,-0.00258
2.21,0.19587,0.00049,-0.00049,0.00294,-0.00294
2.71,0.20983,0.0008,-0.0008,0.00315,-0.00315
3.22,0.2103,0.00128,-0.00128,0.00315,-0.00315

