#: table_doi: 10.17182/hepdata.58994.v1/t58
#: name: Table 58
#: description: PT dependence of V2(EP) for centrality 5-10% and |eta| ranges 0.0-0.4, 0.4-0.8 and 0.8-1.2.

#: data_file: Table58.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),0.0-0.4
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.019988,0.000121,-0.000121,0.000458,-0.000458
0.451,0.026883,0.000123,-0.000123,0.000616,-0.000616
0.55,0.033337,0.00013,-0.00013,0.0005,-0.0005
0.698,0.042017,0.0001,-0.0001,0.00063,-0.00063
0.896,0.052438,0.00013,-0.00013,0.000787,-0.000787
1.09,0.062143,0.00015,-0.00015,0.000932,-0.000932
1.39,0.07366,0.00014,-0.00014,0.0011,-0.0011
1.76,0.08759,0.00022,-0.00022,0.00131,-0.00131
2.21,0.10212,0.00033,-0.00033,0.00153,-0.00153
2.71,0.11505,0.00054,-0.00054,0.00173,-0.00173
3.22,0.11937,0.00084,-0.00084,0.00179,-0.00179

#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),0.4-0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.020182,0.000218,-0.000218,0.000462,-0.000462
0.451,0.026744,0.000205,-0.000205,0.000613,-0.000613
0.55,0.033713,0.00021,-0.00021,0.000506,-0.000506
0.698,0.041936,0.00016,-0.00016,0.000629,-0.000629
0.896,0.052321,0.00018,-0.00018,0.000785,-0.000785
1.09,0.062066,0.00021,-0.00021,0.000931,-0.000931
1.39,0.07335,0.0002,-0.0002,0.0011,-0.0011
1.76,0.08747,0.00031,-0.00031,0.00131,-0.00131
2.21,0.10202,0.00053,-0.00053,0.00153,-0.00153
2.71,0.11359,0.00086,-0.00086,0.0017,-0.0017
3.22,0.11923,0.00136,-0.00136,0.00179,-0.00179

#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),0.8-1.2
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.02012,0.000177,-0.000177,0.000461,-0.000461
0.451,0.026941,0.000172,-0.000172,0.000617,-0.000617
0.55,0.033034,0.00018,-0.00018,0.000496,-0.000496
0.698,0.041645,0.00014,-0.00014,0.000625,-0.000625
0.896,0.052232,0.00017,-0.00017,0.000783,-0.000783
1.09,0.061547,0.0002,-0.0002,0.000923,-0.000923
1.39,0.07302,0.00019,-0.00019,0.0011,-0.0011
1.76,0.08655,0.0003,-0.0003,0.0013,-0.0013
2.21,0.10143,0.00049,-0.00049,0.00152,-0.00152
2.71,0.11347,0.00078,-0.00078,0.0017,-0.0017
3.22,0.11928,0.00122,-0.00122,0.00179,-0.00179

