#: table_doi: 10.17182/hepdata.58994.v1/t11
#: name: Table 11
#: description: Measurements of the elliptic anisotropy parameter using the event-plane method, V2(EP) v PT for the centrality range 60-70%.

#: data_file: Table11.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],60.0-70.0
#: ABS(ETARAP),< 0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(C=EP)','stat +','stat -','sys +','sys -'
0.35,0.047739,0.000339,-0.000339,0.000716,-0.000716
0.449,0.064384,0.000349,-0.000349,0.000966,-0.000966
0.549,0.08056,0.00038,-0.00038,0.00121,-0.00121
0.693,0.10096,0.00031,-0.00031,0.00151,-0.00151
0.893,0.12581,0.00038,-0.00038,0.00189,-0.00189
1.09,0.14639,0.00048,-0.00048,0.0022,-0.0022
1.38,0.16729,0.00046,-0.00046,0.00251,-0.00251
1.76,0.18685,0.00071,-0.00071,0.0028,-0.0028
2.21,0.19637,0.00106,-0.00106,0.00295,-0.00295
2.72,0.19745,0.00164,-0.00164,0.00296,-0.00296
3.22,0.18553,0.00246,-0.00246,0.00278,-0.00278
3.72,0.18218,0.00354,-0.00354,0.00273,-0.00273
4.4,0.16568,0.00395,-0.00395,0.00249,-0.00249
5.42,0.14984,0.00682,-0.00682,0.00225,-0.00225
6.75,0.11994,0.00882,-0.00882,0.0018,-0.0018
8.81,0.1117,0.0173,-0.0173,0.0017,-0.0017
10.9,0.0992,0.0297,-0.0297,0.0015,-0.0015
13.6,0.0581,0.0373,-0.0373,0.0009,-0.0009
18.2,0.0535,0.0645,-0.0645,0.0008,-0.0008

