#: table_doi: 10.17182/hepdata.58994.v1/t2
#: name: Table 2
#: description: Measurements of the elliptic anisotropy parameter using the event-plane method, V2(EP) v PT for the centrality range 5-10%.

#: data_file: Table2.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],5.0-10.0
#: ABS(ETARAP),< 0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(C=EP)','stat +','stat -','sys +','sys -'
0.351,0.020086,7.8e-05,-7.8e-05,0.00046,-0.00046
0.449,0.026822,7.8e-05,-7.8e-05,0.000615,-0.000615
0.549,0.033521,8.2e-05,-8.2e-05,0.000503,-0.000503
0.694,0.04198,6.5e-05,-6.5e-05,0.00063,-0.00063
0.894,0.052382,7.7e-05,-7.7e-05,0.000786,-0.000786
1.09,0.062105,9.2e-05,-9.2e-05,0.000932,-0.000932
1.38,0.0735,9e-05,-9e-05,0.0011,-0.0011
1.76,0.08753,0.00013,-0.00013,0.00131,-0.00131
2.21,0.10207,0.0002,-0.0002,0.00153,-0.00153
2.71,0.11434,0.00033,-0.00033,0.00172,-0.00172
3.21,0.1193,0.00053,-0.00053,0.00179,-0.00179
3.71,0.11908,0.00083,-0.00083,0.00179,-0.00179
4.38,0.11015,0.00102,-0.00102,0.00165,-0.00165
5.41,0.08954,0.00195,-0.00195,0.00134,-0.00134
6.76,0.06525,0.00262,-0.00262,0.00098,-0.00098
8.82,0.04816,0.00506,-0.00506,0.00072,-0.00072
10.9,0.03747,0.00818,-0.00818,0.00056,-0.00056
13.6,0.02941,0.00996,-0.00996,0.00044,-0.00044
18.3,0.028,0.0164,-0.0164,0.0004,-0.0004

