#: table_doi: 10.17182/hepdata.58994.v1/t31
#: name: Table 31
#: description: Measurements of the fourth-order elliptic anisotropy parameter using the cumulant method, V2(C4) v PT for the centrality range 35-40%.

#: data_file: Table31.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],35.0-40.0
#: ABS(ETARAP),< 0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(C=C4)','stat +','stat -','sys +','sys -'
0.351,0.0395,0.00018,-0.00018,0.00182,-0.00182
0.449,0.0558,0.00019,-0.00019,0.00258,-0.00258
0.549,0.0688,0.0002,-0.0002,0.00312,-0.00312
0.694,0.0875,0.00018,-0.00018,0.00397,-0.00397
0.894,0.109,0.00021,-0.00021,0.00495,-0.00495
1.09,0.1275,0.00026,-0.00026,0.00579,-0.00579
1.38,0.153,0.00025,-0.00025,0.00695,-0.00695
1.76,0.1774,0.00036,-0.00036,0.00805,-0.00805
2.21,0.194,0.00052,-0.00052,0.00881,-0.00881
2.71,0.2031,0.00081,-0.00081,0.00922,-0.00922
3.22,0.1989,0.00124,-0.00124,0.00903,-0.00903
3.72,0.1871,0.00185,-0.00185,0.00849,-0.00849
4.39,0.1728,0.00215,-0.00215,0.00784,-0.00784
5.42,0.1331,0.00386,-0.00386,0.00604,-0.00604
6.75,0.1081,0.00508,-0.00508,0.00491,-0.00491
8.81,0.1203,0.00974,-0.00974,0.00546,-0.00546
10.9,0.0895,0.0162,-0.0162,0.0041,-0.0041
13.6,0.0063,0.02,-0.02,0.0003,-0.0003
18.2,0.0335,0.0351,-0.0351,0.0015,-0.0015

