#: table_doi: 10.17182/hepdata.58994.v1/t66
#: name: Table 66
#: description: PT dependence of V2(EP) for centrality 25-30% and |eta| ranges 0.0-0.4, 0.4-0.8 and 0.8-1.2.

#: data_file: Table66.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),0.0-0.4
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.041721,0.000151,-0.000151,0.000626,-0.000626
0.451,0.055617,0.000154,-0.000154,0.000834,-0.000834
0.55,0.06912,0.00016,-0.00016,0.00104,-0.00104
0.698,0.08597,0.00013,-0.00013,0.00129,-0.00129
0.896,0.10735,0.00016,-0.00016,0.00161,-0.00161
1.09,0.12609,0.00019,-0.00019,0.00189,-0.00189
1.39,0.14805,0.00018,-0.00018,0.00222,-0.00222
1.76,0.17562,0.00028,-0.00028,0.00263,-0.00263
2.21,0.19928,0.00043,-0.00043,0.00299,-0.00299
2.71,0.214,0.00069,-0.00069,0.00321,-0.00321
3.22,0.2188,0.00107,-0.00107,0.00328,-0.00328

#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),0.4-0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.041117,0.000144,-0.000144,0.000617,-0.000617
0.451,0.055214,0.000144,-0.000144,0.000828,-0.000828
0.55,0.06819,0.00015,-0.00015,0.00102,-0.00102
0.698,0.08552,0.00012,-0.00012,0.00128,-0.00128
0.896,0.10693,0.00014,-0.00014,0.0016,-0.0016
1.09,0.12586,0.00017,-0.00017,0.00189,-0.00189
1.39,0.14781,0.00016,-0.00016,0.00222,-0.00222
1.76,0.17452,0.00025,-0.00025,0.00262,-0.00262
2.21,0.19812,0.00038,-0.00038,0.00297,-0.00297
2.71,0.21319,0.00061,-0.00061,0.0032,-0.0032
3.22,0.21712,0.00096,-0.00096,0.00326,-0.00326

#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),0.8-1.2
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.041072,0.000224,-0.000224,0.000616,-0.000616
0.451,0.054845,0.000212,-0.000212,0.000823,-0.000823
0.55,0.06775,0.00021,-0.00021,0.00102,-0.00102
0.698,0.08508,0.00016,-0.00016,0.00128,-0.00128
0.896,0.10636,0.00019,-0.00019,0.0016,-0.0016
1.09,0.12525,0.00023,-0.00023,0.00188,-0.00188
1.39,0.14702,0.00021,-0.00021,0.00221,-0.00221
1.76,0.17337,0.00034,-0.00034,0.0026,-0.0026
2.21,0.19816,0.00058,-0.00058,0.00297,-0.00297
2.71,0.21207,0.00092,-0.00092,0.00318,-0.00318
3.22,0.21426,0.00142,-0.00142,0.00321,-0.00321

