#: table_doi: 10.17182/hepdata.58994.v1/t56
#: name: Table 56
#: description: PT dependence of V2(EP) for centrality 0-5% and |eta| ranges 0.0-0.4, 0.4-0.8 and 0.8-1.2.

#: data_file: Table56.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),0.0-0.4
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.01165,0.000129,-0.000129,0.000267,-0.000267
0.451,0.01627,0.000129,-0.000129,0.000373,-0.000373
0.55,0.02027,0.000137,-0.000137,0.000304,-0.000304
0.698,0.02522,0.000109,-0.000109,0.000378,-0.000378
0.896,0.031463,0.000131,-0.000131,0.000472,-0.000472
1.09,0.037391,0.000156,-0.000156,0.000561,-0.000561
1.39,0.043842,0.000146,-0.000146,0.000658,-0.000658
1.76,0.051579,0.000222,-0.000222,0.000774,-0.000774
2.21,0.060025,0.000342,-0.000342,0.0009,-0.0009
2.71,0.065826,0.000558,-0.000558,0.000987,-0.000987
3.22,0.06827,0.0009,-0.0009,0.00102,-0.00102

#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),0.4-0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.01196,0.000138,-0.000138,0.000274,-0.000274
0.451,0.016107,0.000136,-0.000136,0.000369,-0.000369
0.55,0.020138,0.000142,-0.000142,0.000302,-0.000302
0.698,0.025322,0.000111,-0.000111,0.00038,-0.00038
0.896,0.03152,0.000133,-0.000133,0.000473,-0.000473
1.09,0.037278,0.000158,-0.000158,0.000559,-0.000559
1.39,0.043617,0.000147,-0.000147,0.000654,-0.000654
1.76,0.051516,0.000225,-0.000225,0.000773,-0.000773
2.21,0.06059,0.00035,-0.00035,0.000909,-0.000909
2.71,0.065475,0.000571,-0.000571,0.000982,-0.000982
3.22,0.06832,0.00092,-0.00092,0.00102,-0.00102

#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),0.8-1.2
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.011913,0.00015,-0.00015,0.000273,-0.000273
0.451,0.015903,0.000144,-0.000144,0.000364,-0.000364
0.55,0.019888,0.000148,-0.000148,0.000298,-0.000298
0.698,0.025012,0.000114,-0.000114,0.000375,-0.000375
0.896,0.031171,0.000135,-0.000135,0.000468,-0.000468
1.09,0.036599,0.00016,-0.00016,0.000549,-0.000549
1.39,0.043233,0.000149,-0.000149,0.000648,-0.000648
1.76,0.051048,0.000235,-0.000235,0.000766,-0.000766
2.21,0.060235,0.00039,-0.00039,0.000904,-0.000904
2.71,0.06672,0.00064,-0.00064,0.001,-0.001
3.22,0.07065,0.00104,-0.00104,0.00106,-0.00106

