#: table_doi: 10.17182/hepdata.58994.v1/t70
#: name: Table 70
#: description: PT dependence of V2(EP) for centrality 35-40% and |eta| ranges 0.0-0.4, 0.4-0.8 and 0.8-1.2.

#: data_file: Table70.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),0.0-0.4
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.047395,0.000156,-0.000156,0.000695,-0.000695
0.451,0.063269,0.00016,-0.00016,0.000928,-0.000928
0.55,0.07802,0.00017,-0.00017,0.00115,-0.00115
0.698,0.09798,0.00014,-0.00014,0.00144,-0.00144
0.896,0.12194,0.00017,-0.00017,0.0018,-0.0018
1.09,0.14292,0.00021,-0.00021,0.00211,-0.00211
1.39,0.16701,0.0002,-0.0002,0.00248,-0.00248
1.76,0.19547,0.00031,-0.00031,0.00288,-0.00288
2.21,0.21773,0.00046,-0.00046,0.00324,-0.00324
2.71,0.23145,0.00073,-0.00073,0.00339,-0.00339
3.22,0.22926,0.00112,-0.00112,0.00338,-0.00338

#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),0.4-0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.046636,0.000224,-0.000224,0.0007,-0.0007
0.451,0.062456,0.000212,-0.000212,0.000937,-0.000937
0.55,0.07717,0.00021,-0.00021,0.00116,-0.00116
0.698,0.09749,0.00016,-0.00016,0.00146,-0.00146
0.896,0.12119,0.00019,-0.00019,0.00182,-0.00182
1.09,0.1425,0.00023,-0.00023,0.00214,-0.00214
1.39,0.1667,0.00021,-0.00021,0.0025,-0.0025
1.76,0.1949,0.00034,-0.00034,0.00292,-0.00292
2.21,0.21787,0.00058,-0.00058,0.00327,-0.00327
2.71,0.22815,0.00092,-0.00092,0.00342,-0.00342
3.22,0.22899,0.00142,-0.00142,0.00343,-0.00343

#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),0.8-1.2
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.046527,0.000202,-0.000202,0.000698,-0.000698
0.451,0.061936,0.000197,-0.000197,0.000929,-0.000929
0.55,0.07682,0.0002,-0.0002,0.00115,-0.00115
0.698,0.09666,0.00016,-0.00016,0.00145,-0.00145
0.896,0.1207,0.00019,-0.00019,0.00181,-0.00181
1.09,0.14145,0.00023,-0.00023,0.00212,-0.00212
1.39,0.166,0.00022,-0.00022,0.00249,-0.00249
1.76,0.19267,0.00035,-0.00035,0.00289,-0.00289
2.21,0.21692,0.00057,-0.00057,0.00325,-0.00325
2.71,0.22832,0.00091,-0.00091,0.00342,-0.00342
3.22,0.22701,0.0014,-0.0014,0.00341,-0.00341

