#: table_doi: 10.17182/hepdata.58994.v1/t51
#: name: Table 51
#: description: Pseudorapidity dependence of V2 for centrality 35-40%.

#: data_file: Table51.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: PT [GeV],0.3-3.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],35.0-40.0
#: SQRT(S)/NUCLEON [GeV],2760.0
'ETARAP','V2(V=EP)','stat +','stat -','sys +','sys -'
-2.19,0.09711,0.0002,-0.0002,0.00032,-0.00032
-1.79,0.09646,0.00016,-0.00016,0.00025,-0.00025
-1.39,0.09818,0.00011,-0.00011,0.00018,-0.00018
-0.996,0.10055,9e-05,-9e-05,0.00015,-0.00015
-0.597,0.10166,9e-05,-9e-05,0.00015,-0.00015
-0.2,0.10243,9e-05,-9e-05,0.00014,-0.00014
0.198,0.10244,9e-05,-9e-05,0.00014,-0.00014
0.596,0.10196,9e-05,-9e-05,0.00015,-0.00015
0.995,0.1004,0.0001,-0.0001,0.00016,-0.00016
1.39,0.09847,0.00011,-0.00011,0.00018,-0.00018
1.78,0.09689,0.00016,-0.00016,0.00026,-0.00026
2.18,0.09619,0.0002,-0.0002,0.00033,-0.00033

#: PT [GeV],0.3-3.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],35.0-40.0
#: SQRT(S)/NUCLEON [GeV],2760.0
'ETARAP',' V2(V=C2)','stat +','stat -','sys +','sys -'
-2.19,0.0979,0.00052,-0.00052,0.00018,-0.00018
-1.79,0.1007,0.00041,-0.00041,0.00015,-0.00015
-1.39,0.1015,0.00029,-0.00029,0.00012,-0.00012
-0.996,0.1033,0.00025,-0.00025,0.0001,-0.0001
-0.597,0.105,0.00024,-0.00024,0.0001,-0.0001
-0.2,0.1062,0.00023,-0.00023,0.0001,-0.0001
0.198,0.1062,0.00023,-0.00023,0.0001,-0.0001
0.596,0.1058,0.00024,-0.00024,0.0001,-0.0001
0.995,0.1041,0.00026,-0.00026,0.00011,-0.00011
1.39,0.1039,0.0003,-0.0003,0.00012,-0.00012
1.78,0.0983,0.00042,-0.00042,0.00015,-0.00015
2.18,0.0967,0.00053,-0.00053,0.00018,-0.00018

#: PT [GeV],0.3-3.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],35.0-40.0
#: SQRT(S)/NUCLEON [GeV],2760.0
'ETARAP',' V2(V=C4)','stat +','stat -','sys +','sys -'
-2.19,0.0829,0.0002,-0.0002,0.0002,-0.0002
-1.79,0.0836,0.00016,-0.00016,0.00016,-0.00016
-1.39,0.0844,0.00013,-0.00013,0.00013,-0.00013
-0.996,0.0856,0.00011,-0.00011,0.00011,-0.00011
-0.597,0.0867,0.00011,-0.00011,0.00011,-0.00011
-0.2,0.087,0.00011,-0.00011,0.00011,-0.00011
0.198,0.0869,0.00011,-0.00011,0.00011,-0.00011
0.596,0.0871,0.00011,-0.00011,0.00011,-0.00011
0.995,0.086,0.00012,-0.00012,0.00012,-0.00012
1.39,0.0858,0.00013,-0.00013,0.00013,-0.00013
1.78,0.0838,0.00017,-0.00017,0.00017,-0.00017
2.18,0.0823,0.0002,-0.0002,0.0002,-0.0002

#: PT [GeV],0.3-3.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],35.0-40.0
#: SQRT(S)/NUCLEON [GeV],2760.0
'ETARAP',' V2(V=LYZ)','stat +','stat -','sys +','sys -'
-2.19,0.08779,0.00032,-0.00032,0.00032,-0.00032
-1.79,0.08739,0.00025,-0.00025,0.00025,-0.00025
-1.39,0.08648,0.00018,-0.00018,0.00018,-0.00018
-0.996,0.0868,0.00015,-0.00015,0.00015,-0.00015
-0.597,0.08764,0.00015,-0.00015,0.00015,-0.00015
-0.2,0.08848,0.00014,-0.00014,0.00014,-0.00014
0.198,0.08805,0.00014,-0.00014,0.00014,-0.00014
0.596,0.08822,0.00015,-0.00015,0.00015,-0.00015
0.995,0.08683,0.00016,-0.00016,0.00016,-0.00016
1.39,0.08568,0.00018,-0.00018,0.00018,-0.00018
1.78,0.08637,0.00026,-0.00026,0.00026,-0.00026
2.18,0.08417,0.00033,-0.00033,0.00033,-0.00033

