#: table_doi: 10.17182/hepdata.58994.v1/t83
#: name: Table 83
#: description: Measurements of the elliptic anisotropy parameter using the event-plane method, V2(EP) v PT for the centrality range 30-40%.

#: data_file: Table83.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],30.0-40.0
#: ABS(ETARAP),< 0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(C=EP)','stat +','stat -','sys +','sys -'
0.254,0.0321,9.3e-05,-9.3e-05,0.000481,-0.000481
0.351,0.0468,8.3e-05,-8.3e-05,0.000702,-0.000702
0.449,0.0617,8.4e-05,-8.4e-05,0.000925,-0.000925
0.549,0.076,9e-05,-9e-05,0.00114,-0.00114
0.694,0.0951,7e-05,-7e-05,0.00143,-0.00143
0.894,0.118,9e-05,-9e-05,0.00177,-0.00177
1.09,0.139,0.00011,-0.00011,0.00209,-0.00209
1.38,0.162,0.0001,-0.0001,0.00243,-0.00243
1.76,0.19,0.00015,-0.00015,0.00285,-0.00285
2.21,0.214,0.00023,-0.00023,0.00321,-0.00321
2.71,0.227,0.00037,-0.00037,0.00341,-0.00341
3.22,0.228,0.00058,-0.00058,0.00342,-0.00342
3.72,0.218,0.00086,-0.00086,0.00327,-0.00327
4.39,0.194,0.001,-0.001,0.00291,-0.00291
5.42,0.158,0.00179,-0.00179,0.00237,-0.00237
6.75,0.13,0.00233,-0.00233,0.00195,-0.00195
8.82,0.0946,0.0045,-0.0045,0.00142,-0.00142
10.9,0.082,0.00744,-0.00744,0.00123,-0.00123
13.5,0.0806,0.00908,-0.00908,0.00121,-0.00121
18.2,0.0715,0.0155,-0.0155,0.0011,-0.0011

