#: table_doi: 10.17182/hepdata.58994.v1/t17
#: name: Table 17
#: description: Measurements of the second-order elliptic anisotropy parameter using the cumulant method, V2(C2) v PT for the centrality range 20-25%.

#: data_file: Table17.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],20.0-25.0
#: ABS(ETARAP),< 0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(C=C2)','stat +','stat -','sys +','sys -'
0.351,0.039,0.0001,-0.0001,0.00164,-0.00164
0.449,0.0536,0.0001,-0.0001,0.00225,-0.00225
0.549,0.068,0.0001,-0.0001,0.00286,-0.00286
0.694,0.0841,8e-05,-8e-05,0.00354,-0.00354
0.894,0.1053,0.0001,-0.0001,0.00443,-0.00443
1.09,0.1218,0.00012,-0.00012,0.00512,-0.00512
1.38,0.1517,0.00011,-0.00011,0.00638,-0.00638
1.76,0.1797,0.00017,-0.00017,0.00756,-0.00756
2.21,0.2069,0.00025,-0.00025,0.0087,-0.0087
2.71,0.2244,0.0004,-0.0004,0.00944,-0.00944
3.21,0.229,0.00063,-0.00063,0.00963,-0.00963
3.99,0.21596,0.00105,-0.00105,0.00908,-0.00908
5.41,0.1669,0.00215,-0.00215,0.00702,-0.00702
6.75,0.1524,0.00285,-0.00285,0.00641,-0.00641
8.82,0.1254,0.00554,-0.00554,0.00527,-0.00527
10.9,0.1154,0.0091,-0.0091,0.00485,-0.00485
13.5,0.1341,0.0112,-0.0112,0.0056,-0.0056
18.3,0.175,0.0183,-0.0183,0.0074,-0.0074

