#: table_doi: 10.17182/hepdata.58994.v1/t40
#: name: Table 40
#: description: Measurements of the elliptic anisotropy parameter using the Lee-Yang zeros method, V2(LYZ) v PT for the centrality range 30-35%.

#: data_file: Table40.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],30.0-35.0
#: ABS(ETARAP),< 0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(C=LYZ)','stat +','stat -','sys +','sys -'
0.351,0.040086,0.000156,-0.000156,0.000881,-0.000881
0.449,0.05311,0.00016,-0.00016,0.00117,-0.00117
0.549,0.0661,0.00017,-0.00017,0.00116,-0.00116
0.694,0.08197,0.00013,-0.00013,0.00144,-0.00144
0.894,0.10233,0.00016,-0.00016,0.0018,-0.0018
1.09,0.11967,0.00019,-0.00019,0.00211,-0.00211
1.38,0.13994,0.00018,-0.00018,0.00246,-0.00246
1.76,0.16401,0.00028,-0.00028,0.00289,-0.00289
2.21,0.18262,0.00042,-0.00042,0.00322,-0.00322
2.71,0.19285,0.00066,-0.00066,0.0034,-0.0034
3.21,0.19119,0.00103,-0.00103,0.00337,-0.00337
3.72,0.1846,0.00155,-0.00155,0.00325,-0.00325
4.39,0.15768,0.00183,-0.00183,0.00278,-0.00278
5.42,0.13865,0.00332,-0.00332,0.00244,-0.00244
6.75,0.10407,0.00435,-0.00435,0.00183,-0.00183
8.82,0.08623,0.00851,-0.00851,0.00152,-0.00152
10.8,0.0867,0.0141,-0.0141,0.0015,-0.0015
13.5,0.0806,0.017,-0.017,0.0014,-0.0014
18.3,0.0663,0.0294,-0.0294,0.0012,-0.0012

