#: table_doi: 10.17182/hepdata.58994.v1/t14
#: name: Table 14
#: description: Measurements of the second-order elliptic anisotropy parameter using the cumulant method, V2(C2) v PT for the centrality range 5-10%.

#: data_file: Table14.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],5.0-10.0
#: ABS(ETARAP),< 0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(C=C2)','stat +','stat -','sys +','sys -'
0.351,0.0236,7.5e-05,-7.5e-05,0.000613,-0.000613
0.449,0.0314,7.5e-05,-7.5e-05,0.000815,-0.000815
0.549,0.039,8e-05,-8e-05,0.00112,-0.00112
0.694,0.0478,6e-05,-6e-05,0.00137,-0.00137
0.894,0.0594,8e-05,-8e-05,0.0017,-0.0017
1.09,0.0686,9e-05,-9e-05,0.00196,-0.00196
1.38,0.085,9e-05,-9e-05,0.00243,-0.00243
1.76,0.1011,0.00013,-0.00013,0.00289,-0.00289
2.21,0.1179,0.0002,-0.0002,0.00337,-0.00337
2.71,0.131,0.00032,-0.00032,0.00375,-0.00375
3.21,0.1359,0.00052,-0.00052,0.00389,-0.00389
3.98,0.13322,0.00088,-0.00088,0.00381,-0.00381
5.41,0.1057,0.00191,-0.00191,0.00302,-0.00302
6.76,0.0983,0.00256,-0.00256,0.00281,-0.00281
8.83,0.088,0.00496,-0.00496,0.00252,-0.00252
10.9,0.0841,0.00812,-0.00812,0.00241,-0.00241
13.6,0.1077,0.00981,-0.00981,0.00308,-0.00308
18.3,0.1596,0.016,-0.016,0.0046,-0.0046

