#: table_doi: 10.17182/hepdata.58994.v1/t64
#: name: Table 64
#: description: PT dependence of V2(EP) for centrality 20-25% and |eta| ranges 0.0-0.4, 0.4-0.8 and 0.8-1.2.

#: data_file: Table64.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),0.0-0.4
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.037821,0.000121,-0.000121,0.000567,-0.000567
0.451,0.050124,0.000123,-0.000123,0.000752,-0.000752
0.55,0.062221,0.00013,-0.00013,0.000933,-0.000933
0.698,0.07781,0.0001,-0.0001,0.00117,-0.00117
0.896,0.09702,0.00013,-0.00013,0.00146,-0.00146
1.09,0.11453,0.00015,-0.00015,0.00172,-0.00172
1.39,0.1349,0.00014,-0.00014,0.00202,-0.00202
1.76,0.15971,0.00022,-0.00022,0.0024,-0.0024
2.21,0.18236,0.00033,-0.00033,0.00274,-0.00274
2.71,0.1989,0.00054,-0.00054,0.00298,-0.00298
3.22,0.20262,0.00084,-0.00084,0.00304,-0.00304

#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),0.4-0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.037037,0.000249,-0.000249,0.000556,-0.000556
0.451,0.050094,0.000234,-0.000234,0.000751,-0.000751
0.55,0.062117,0.00024,-0.00024,0.000932,-0.000932
0.698,0.07745,0.00018,-0.00018,0.00116,-0.00116
0.896,0.09684,0.00021,-0.00021,0.00145,-0.00145
1.09,0.11389,0.00025,-0.00025,0.00171,-0.00171
1.39,0.13443,0.00023,-0.00023,0.00202,-0.00202
1.76,0.15902,0.00036,-0.00036,0.00239,-0.00239
2.21,0.18215,0.00062,-0.00062,0.00273,-0.00273
2.71,0.19788,0.001,-0.001,0.00297,-0.00297
3.22,0.20336,0.00155,-0.00155,0.00305,-0.00305

#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),0.8-1.2
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.037389,0.000142,-0.000142,0.000561,-0.000561
0.451,0.049809,0.000138,-0.000138,0.000747,-0.000747
0.55,0.061325,0.000142,-0.000142,0.00092,-0.00092
0.698,0.07704,0.00011,-0.00011,0.00116,-0.00116
0.896,0.09597,0.00013,-0.00013,0.00144,-0.00144
1.09,0.11354,0.00016,-0.00016,0.0017,-0.0017
1.39,0.13385,0.00015,-0.00015,0.00201,-0.00201
1.76,0.15845,0.00023,-0.00023,0.00238,-0.00238
2.21,0.18221,0.00038,-0.00038,0.00273,-0.00273
2.71,0.19852,0.00061,-0.00061,0.00298,-0.00298
3.22,0.2012,0.00097,-0.00097,0.00302,-0.00302

