#: table_doi: 10.17182/hepdata.58994.v1/t61
#: name: Table 61
#: description: PT dependence of V2(EP) for centrality 10-15% and |eta| ranges 1.2-1.6, 1.6-2.0 and 2.0-2.4.

#: data_file: Table61.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),1.2-1.6
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.026496,0.000152,-0.000152,0.000397,-0.000397
0.451,0.035393,0.000142,-0.000142,0.000531,-0.000531
0.55,0.044037,0.000141,-0.000141,0.000661,-0.000661
0.698,0.05555,0.000106,-0.000106,0.000833,-0.000833
0.896,0.06933,0.00012,-0.00012,0.00104,-0.00104
1.09,0.0821,0.00014,-0.00014,0.00123,-0.00123
1.39,0.09724,0.00013,-0.00013,0.00146,-0.00146
1.76,0.11529,0.00021,-0.00021,0.00173,-0.00173
2.21,0.13542,0.00035,-0.00035,0.00203,-0.00203
2.71,0.14846,0.00058,-0.00058,0.00223,-0.00223
3.22,0.15531,0.00093,-0.00093,0.00233,-0.00233

#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),1.6-2.0
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.024293,0.000248,-0.000248,0.000364,-0.000364
0.451,0.034635,0.000218,-0.000218,0.00052,-0.00052
0.55,0.04319,0.000205,-0.000205,0.000648,-0.000648
0.698,0.055013,0.000145,-0.000145,0.000825,-0.000825
0.896,0.06924,0.00016,-0.00016,0.00104,-0.00104
1.09,0.0823,0.00017,-0.00017,0.00123,-0.00123
1.39,0.0973,0.00015,-0.00015,0.00146,-0.00146
1.76,0.11577,0.00021,-0.00021,0.00174,-0.00174
2.21,0.13468,0.00033,-0.00033,0.00202,-0.00202
2.71,0.14842,0.00055,-0.00055,0.00223,-0.00223
3.22,0.15197,0.00089,-0.00089,0.00228,-0.00228

#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),2.0-2.4
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.025654,0.000323,-0.000323,0.000385,-0.000385
0.451,0.034851,0.000278,-0.000278,0.000523,-0.000523
0.55,0.043519,0.00026,-0.00026,0.000653,-0.000653
0.698,0.05532,0.00018,-0.00018,0.00083,-0.00083
0.896,0.069,0.00019,-0.00019,0.00103,-0.00103
1.09,0.08226,0.00021,-0.00021,0.00123,-0.00123
1.39,0.09742,0.00018,-0.00018,0.00146,-0.00146
1.76,0.11568,0.00023,-0.00023,0.00174,-0.00174
2.21,0.13445,0.00037,-0.00037,0.00202,-0.00202
2.71,0.14855,0.00061,-0.00061,0.00223,-0.00223
3.22,0.15367,0.001,-0.001,0.00231,-0.00231

