#: table_doi: 10.17182/hepdata.58994.v1/t69
#: name: Table 69
#: description: PT dependence of V2(EP) for centrality 30-35% and |eta| ranges 1.2-1.6, 1.6-2.0 and 2.0-2.4.

#: data_file: Table69.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),1.2-1.6
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.044126,0.000218,-0.000218,0.000662,-0.000662
0.451,0.058712,0.000205,-0.000205,0.000881,-0.000881
0.55,0.07253,0.00021,-0.00021,0.00109,-0.00109
0.698,0.09121,0.00016,-0.00016,0.00137,-0.00137
0.896,0.11396,0.00018,-0.00018,0.00171,-0.00171
1.09,0.13436,0.00021,-0.00021,0.00202,-0.00202
1.39,0.15762,0.0002,-0.0002,0.00236,-0.00236
1.76,0.18379,0.00031,-0.00031,0.00276,-0.00276
2.21,0.20881,0.00053,-0.00053,0.00313,-0.00313
2.71,0.22256,0.00086,-0.00086,0.00334,-0.00334
3.22,0.22228,0.00136,-0.00136,0.00333,-0.00333

#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),1.6-2.0
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.0422,0.000349,-0.000349,0.000633,-0.000633
0.451,0.057312,0.00031,-0.00031,0.00086,-0.00086
0.55,0.07158,0.0003,-0.0003,0.00107,-0.00107
0.698,0.09052,0.00021,-0.00021,0.00136,-0.00136
0.896,0.11368,0.00023,-0.00023,0.00171,-0.00171
1.09,0.13361,0.00026,-0.00026,0.002,-0.002
1.39,0.15743,0.00023,-0.00023,0.00236,-0.00236
1.76,0.18422,0.00032,-0.00032,0.00276,-0.00276
2.21,0.20753,0.0005,-0.0005,0.00311,-0.00311
2.71,0.21987,0.00082,-0.00082,0.0033,-0.0033
3.22,0.22007,0.0013,-0.0013,0.0033,-0.0033

#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),2.0-2.4
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.042598,0.000455,-0.000455,0.000639,-0.000639
0.451,0.05742,0.000398,-0.000398,0.000861,-0.000861
0.55,0.07227,0.00038,-0.00038,0.00108,-0.00108
0.698,0.09102,0.00026,-0.00026,0.00137,-0.00137
0.896,0.11417,0.00028,-0.00028,0.00171,-0.00171
1.09,0.13343,0.00031,-0.00031,0.002,-0.002
1.39,0.1574,0.00027,-0.00027,0.00236,-0.00236
1.76,0.18405,0.00035,-0.00035,0.00276,-0.00276
2.21,0.20672,0.00056,-0.00056,0.0031,-0.0031
2.71,0.22077,0.00091,-0.00091,0.00331,-0.00331
3.22,0.2176,0.00144,-0.00144,0.00326,-0.00326

