#: table_doi: 10.17182/hepdata.58994.v1/t79
#: name: Table 79
#: description: PT dependence of V2(EP) for centrality 70-80% and |eta| ranges 1.2-1.6, 1.6-2.0 and 2.0-2.4.

#: data_file: Table79.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),1.2-1.6
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.03623,0.00165,-0.00165,0.00083,-0.00083
0.451,0.05353,0.0016,-0.0016,0.00123,-0.00123
0.55,0.06667,0.00166,-0.00166,0.00153,-0.00153
0.698,0.08239,0.0013,-0.0013,0.00189,-0.00189
0.896,0.10491,0.00156,-0.00156,0.0024,-0.0024
1.09,0.12101,0.0019,-0.0019,0.00277,-0.00277
1.39,0.13891,0.00181,-0.00181,0.00318,-0.00318
1.76,0.15785,0.00292,-0.00292,0.00362,-0.00362
2.21,0.1603,0.00485,-0.00485,0.00367,-0.00367
2.71,0.16404,0.00753,-0.00753,0.00376,-0.00376
3.22,0.1744,0.0113,-0.0113,0.004,-0.004

#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),1.6-2.0
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.04152,0.00261,-0.00261,0.00095,-0.00095
0.451,0.04701,0.00239,-0.00239,0.00108,-0.00108
0.55,0.06712,0.00235,-0.00235,0.00154,-0.00154
0.698,0.08203,0.00174,-0.00174,0.00188,-0.00188
0.896,0.1001,0.00196,-0.00196,0.00229,-0.00229
1.09,0.11679,0.00229,-0.00229,0.00268,-0.00268
1.39,0.13493,0.00207,-0.00207,0.00309,-0.00309
1.76,0.1521,0.00298,-0.00298,0.00349,-0.00349
2.21,0.15607,0.00461,-0.00461,0.00358,-0.00358
2.71,0.15414,0.00723,-0.00723,0.00353,-0.00353
3.22,0.1284,0.0108,-0.0108,0.0029,-0.0029

#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),2.0-2.4
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.03679,0.00342,-0.00342,0.00084,-0.00084
0.451,0.04229,0.00308,-0.00308,0.00097,-0.00097
0.55,0.05763,0.00298,-0.00298,0.00132,-0.00132
0.698,0.08227,0.00216,-0.00216,0.00189,-0.00189
0.896,0.09969,0.00238,-0.00238,0.00228,-0.00228
1.09,0.1179,0.00274,-0.00274,0.0027,-0.0027
1.39,0.13559,0.00242,-0.00242,0.00311,-0.00311
1.76,0.13808,0.00328,-0.00328,0.00316,-0.00316
2.21,0.15247,0.00503,-0.00503,0.00349,-0.00349
2.71,0.15766,0.00796,-0.00796,0.00361,-0.00361
3.22,0.1605,0.012,-0.012,0.0037,-0.0037

