#: table_doi: 10.17182/hepdata.58994.v1/t23
#: name: Table 23
#: description: Measurements of the second-order elliptic anisotropy parameter using the cumulant method, V2(C2) v PT for the centrality range 60-70%.

#: data_file: Table23.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],60.0-70.0
#: ABS(ETARAP),< 0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(C=C2)','stat +','stat -','sys +','sys -'
0.35,0.04972,0.00028,-0.00028,0.00208,-0.00208
0.449,0.07148,0.00029,-0.00029,0.00299,-0.00299
0.549,0.09056,0.00032,-0.00032,0.00379,-0.00379
0.693,0.11389,0.00027,-0.00027,0.00477,-0.00477
0.893,0.14275,0.00034,-0.00034,0.00598,-0.00598
1.09,0.16342,0.00041,-0.00041,0.00685,-0.00685
1.38,0.2003,0.0004,-0.0004,0.00839,-0.00839
1.76,0.2271,0.0006,-0.0006,0.00951,-0.00951
2.21,0.25,0.0009,-0.0009,0.0105,-0.0105
2.72,0.2644,0.0014,-0.0014,0.0111,-0.0111
3.22,0.27,0.002,-0.002,0.0113,-0.0113
4.02,0.2841,0.0031,-0.0031,0.0119,-0.0119
5.42,0.2899,0.0056,-0.0056,0.0121,-0.0121
6.75,0.3496,0.0073,-0.0073,0.0146,-0.0146
8.81,0.3941,0.0142,-0.0142,0.0165,-0.0165

