#: table_doi: 10.17182/hepdata.58994.v1/t5
#: name: Table 5
#: description: Measurements of the elliptic anisotropy parameter using the event-plane method, V2(EP) v PT for the centrality range 20-25%.

#: data_file: Table5.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],20.0-25.0
#: ABS(ETARAP),< 0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(C=EP)','stat +','stat -','sys +','sys -'
0.351,0.037462,8.9e-05,-8.9e-05,0.000562,-0.000562
0.449,0.050114,8.9e-05,-8.9e-05,0.000752,-0.000752
0.549,0.062174,9.4e-05,-9.4e-05,0.000933,-0.000933
0.694,0.07764,7e-05,-7e-05,0.00116,-0.00116
0.894,0.09693,9e-05,-9e-05,0.00145,-0.00145
1.09,0.11422,0.00011,-0.00011,0.00171,-0.00171
1.38,0.13467,0.0001,-0.0001,0.00202,-0.00202
1.76,0.15937,0.00016,-0.00016,0.00239,-0.00239
2.21,0.18226,0.00024,-0.00024,0.00273,-0.00273
2.71,0.1984,0.00038,-0.00038,0.00298,-0.00298
3.21,0.20298,0.0006,-0.0006,0.00304,-0.00304
3.72,0.19586,0.00092,-0.00092,0.00294,-0.00294
4.39,0.1777,0.0011,-0.0011,0.00267,-0.00267
5.41,0.144,0.00202,-0.00202,0.00216,-0.00216
6.75,0.1079,0.00265,-0.00265,0.00162,-0.00162
8.82,0.08087,0.00515,-0.00515,0.00121,-0.00121
10.9,0.07413,0.00841,-0.00841,0.00111,-0.00111
13.5,0.0769,0.0105,-0.0105,0.0012,-0.0012
18.3,0.0369,0.0167,-0.0167,0.0006,-0.0006

