#: table_doi: 10.17182/hepdata.58994.v1/t62
#: name: Table 62
#: description: PT dependence of V2(EP) for centrality 15-20% and |eta| ranges 0.0-0.4, 0.4-0.8 and 0.8-1.2.

#: data_file: Table62.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),0.0-0.4
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.032795,0.000121,-0.000121,0.000492,-0.000492
0.451,0.043915,0.000123,-0.000123,0.000659,-0.000659
0.55,0.053918,0.00013,-0.00013,0.000809,-0.000809
0.698,0.06796,0.0001,-0.0001,0.00102,-0.00102
0.896,0.08496,0.00013,-0.00013,0.00127,-0.00127
1.09,0.10023,0.00015,-0.00015,0.0015,-0.0015
1.39,0.11798,0.00014,-0.00014,0.00177,-0.00177
1.76,0.14019,0.00022,-0.00022,0.0021,-0.0021
2.21,0.1615,0.00033,-0.00033,0.00242,-0.00242
2.71,0.17722,0.00054,-0.00054,0.00266,-0.00266
3.22,0.18442,0.00084,-0.00084,0.00277,-0.00277

#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),0.4-0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.032571,0.00012,-0.00012,0.000489,-0.000489
0.451,0.043618,0.000119,-0.000119,0.000654,-0.000654
0.55,0.053965,0.000124,-0.000124,0.000809,-0.000809
0.698,0.06778,0.0001,-0.0001,0.00102,-0.00102
0.896,0.08464,0.00012,-0.00012,0.00127,-0.00127
1.09,0.10004,0.00014,-0.00014,0.0015,-0.0015
1.39,0.11785,0.00013,-0.00013,0.00177,-0.00177
1.76,0.1399,0.0002,-0.0002,0.0021,-0.0021
2.21,0.16198,0.00031,-0.00031,0.00243,-0.00243
2.71,0.17786,0.0005,-0.0005,0.00267,-0.00267
3.22,0.18394,0.00079,-0.00079,0.00276,-0.00276

#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),0.8-1.2
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.032566,0.00013,-0.00013,0.000488,-0.000488
0.451,0.043531,0.000126,-0.000126,0.000653,-0.000653
0.55,0.053818,0.00013,-0.00013,0.000807,-0.000807
0.698,0.06737,0.0001,-0.0001,0.00101,-0.00101
0.896,0.08462,0.00012,-0.00012,0.00127,-0.00127
1.09,0.09958,0.00014,-0.00014,0.00149,-0.00149
1.39,0.11772,0.00013,-0.00013,0.00177,-0.00177
1.76,0.13952,0.00021,-0.00021,0.00209,-0.00209
2.21,0.1608,0.00034,-0.00034,0.00241,-0.00241
2.71,0.17691,0.00056,-0.00056,0.00265,-0.00265
3.22,0.18242,0.00089,-0.00089,0.00274,-0.00274

