#: table_doi: 10.17182/hepdata.58994.v1/t72
#: name: Table 72
#: description: PT dependence of V2(EP) for centrality 40-50% and |eta| ranges 0.0-0.4, 0.4-0.8 and 0.8-1.2.

#: data_file: Table72.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),0.0-0.4
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.049661,0.000156,-0.000156,0.000745,-0.000745
0.451,0.06672,0.00016,-0.00016,0.001,-0.001
0.55,0.08236,0.00017,-0.00017,0.00124,-0.00124
0.698,0.10334,0.00014,-0.00014,0.00155,-0.00155
0.896,0.12838,0.00017,-0.00017,0.00193,-0.00193
1.09,0.14974,0.00021,-0.00021,0.00225,-0.00225
1.39,0.17481,0.0002,-0.0002,0.00262,-0.00262
1.76,0.20244,0.00031,-0.00031,0.00304,-0.00304
2.21,0.22283,0.00046,-0.00046,0.00334,-0.00334
2.71,0.23105,0.00073,-0.00073,0.00347,-0.00347
3.22,0.22716,0.00112,-0.00112,0.00341,-0.00341

#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),0.4-0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.049316,0.000142,-0.000142,0.00074,-0.00074
0.451,0.065972,0.000138,-0.000138,0.00099,-0.00099
0.55,0.08187,0.000142,-0.000142,0.00123,-0.00123
0.698,0.10214,0.00011,-0.00011,0.00153,-0.00153
0.896,0.12743,0.00013,-0.00013,0.00191,-0.00191
1.09,0.1491,0.00016,-0.00016,0.00224,-0.00224
1.39,0.17385,0.00015,-0.00015,0.00261,-0.00261
1.76,0.20106,0.00023,-0.00023,0.00302,-0.00302
2.21,0.2223,0.00038,-0.00038,0.00333,-0.00333
2.71,0.23144,0.00061,-0.00061,0.00347,-0.00347
3.22,0.22372,0.00097,-0.00097,0.00336,-0.00336

#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),0.8-1.2
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.048891,0.000182,-0.000182,0.000733,-0.000733
0.451,0.065082,0.000179,-0.000179,0.000976,-0.000976
0.55,0.08108,0.00019,-0.00019,0.00122,-0.00122
0.698,0.10172,0.00015,-0.00015,0.00153,-0.00153
0.896,0.1267,0.00018,-0.00018,0.0019,-0.0019
1.09,0.14836,0.00021,-0.00021,0.00223,-0.00223
1.39,0.17306,0.0002,-0.0002,0.0026,-0.0026
1.76,0.19993,0.00032,-0.00032,0.003,-0.003
2.21,0.22138,0.00052,-0.00052,0.00332,-0.00332
2.71,0.22884,0.00083,-0.00083,0.00343,-0.00343
3.22,0.22315,0.00128,-0.00128,0.00335,-0.00335

