#: table_doi: 10.17182/hepdata.58994.v1/t6
#: name: Table 6
#: description: Measurements of the elliptic anisotropy parameter using the event-plane method, V2(EP) v PT for the centrality range 25-30%.

#: data_file: Table6.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],25.0-30.0
#: ABS(ETARAP),< 0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(C=EP)','stat +','stat -','sys +','sys -'
0.351,0.041444,9.8e-05,-9.8e-05,0.000622,-0.000622
0.449,0.055429,9.9e-05,-9.9e-05,0.000831,-0.000831
0.549,0.06868,0.0001,-0.0001,0.00103,-0.00103
0.694,0.08575,8e-05,-8e-05,0.00129,-0.00129
0.894,0.10715,0.0001,-0.0001,0.00161,-0.00161
1.09,0.12598,0.00012,-0.00012,0.00189,-0.00189
1.38,0.14793,0.00011,-0.00011,0.00222,-0.00222
1.76,0.17508,0.00018,-0.00018,0.00263,-0.00263
2.21,0.19871,0.00027,-0.00027,0.00298,-0.00298
2.71,0.2136,0.00043,-0.00043,0.0032,-0.0032
3.21,0.21798,0.00067,-0.00067,0.00327,-0.00327
3.72,0.2085,0.00102,-0.00102,0.00313,-0.00313
4.39,0.18761,0.0012,-0.0012,0.00281,-0.00281
5.41,0.14769,0.00217,-0.00217,0.00222,-0.00222
6.76,0.11795,0.00286,-0.00286,0.00177,-0.00177
8.82,0.09195,0.00544,-0.00544,0.00138,-0.00138
10.9,0.07399,0.00902,-0.00902,0.00111,-0.00111
13.5,0.0646,0.0111,-0.0111,0.001,-0.001
18.2,0.0452,0.0184,-0.0184,0.0007,-0.0007

