#: table_doi: 10.17182/hepdata.58994.v1/t71
#: name: Table 71
#: description: PT dependence of V2(EP) for centrality 35-40% and |eta| ranges 1.2-1.6, 1.6-2.0 and 2.0-2.4.

#: data_file: Table71.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),1.2-1.6
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.046303,0.000249,-0.000249,0.000695,-0.000695
0.451,0.061842,0.000234,-0.000234,0.000928,-0.000928
0.55,0.07664,0.00024,-0.00024,0.00115,-0.00115
0.698,0.09594,0.00018,-0.00018,0.00144,-0.00144
0.896,0.12018,0.00021,-0.00021,0.0018,-0.0018
1.09,0.14051,0.00025,-0.00025,0.00211,-0.00211
1.39,0.16505,0.00023,-0.00023,0.00248,-0.00248
1.76,0.19188,0.00036,-0.00036,0.00288,-0.00288
2.21,0.21621,0.00062,-0.00062,0.00324,-0.00324
2.71,0.22612,0.001,-0.001,0.00339,-0.00339
3.22,0.22555,0.00155,-0.00155,0.00338,-0.00338

#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),1.6-2.0
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.045313,0.000398,-0.000398,0.00068,-0.00068
0.451,0.061074,0.000354,-0.000354,0.000916,-0.000916
0.55,0.07668,0.00034,-0.00034,0.00115,-0.00115
0.698,0.09606,0.00024,-0.00024,0.00144,-0.00144
0.896,0.11951,0.00026,-0.00026,0.00179,-0.00179
1.09,0.14062,0.0003,-0.0003,0.00211,-0.00211
1.39,0.16503,0.00026,-0.00026,0.00248,-0.00248
1.76,0.19182,0.00037,-0.00037,0.00288,-0.00288
2.21,0.21545,0.00059,-0.00059,0.00323,-0.00323
2.71,0.22396,0.00095,-0.00095,0.00336,-0.00336
3.22,0.22154,0.00149,-0.00149,0.00332,-0.00332

#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),2.0-2.4
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.04576,0.000519,-0.000519,0.000686,-0.000686
0.451,0.061074,0.000455,-0.000455,0.000916,-0.000916
0.55,0.076,0.00043,-0.00043,0.00114,-0.00114
0.698,0.09544,0.0003,-0.0003,0.00143,-0.00143
0.896,0.1192,0.00032,-0.00032,0.00179,-0.00179
1.09,0.13976,0.00036,-0.00036,0.0021,-0.0021
1.39,0.16451,0.00031,-0.00031,0.00247,-0.00247
1.76,0.19138,0.00041,-0.00041,0.00287,-0.00287
2.21,0.21464,0.00064,-0.00064,0.00322,-0.00322
2.71,0.22445,0.00105,-0.00105,0.00337,-0.00337
3.22,0.2212,0.00166,-0.00166,0.00332,-0.00332

