# #rapidity dN/dY
-8.000000000000000000e+00 1.381070850754092562e-02
-7.599999999999999645e+00 1.319341754739479788e-01
-7.200000000000000178e+00 7.203869877383536346e-01
-6.799999999999999822e+00 2.653536611828493097e+00
-6.400000000000000355e+00 7.318021042229648110e+00
-6.000000000000000000e+00 1.571452671181221739e+01
-5.599999999999999645e+00 2.744481917319225772e+01
-5.199999999999999289e+00 4.108645288053937605e+01
-4.799999999999999822e+00 5.770966113700972500e+01
-4.400000000000000355e+00 7.886285993077869705e+01
-4.000000000000000000e+00 1.052022378706673038e+02
-3.599999999999999645e+00 1.356981166252025446e+02
-3.199999999999999289e+00 1.678908897775466187e+02
-2.799999999999999822e+00 1.990261081293184304e+02
-2.399999999999999467e+00 2.273152796127653801e+02
-2.000000000000000000e+00 2.509881329149376654e+02
-1.599999999999999645e+00 2.686332921120477408e+02
-1.199999999999999289e+00 2.801771463688327231e+02
-7.999999999999998224e-01 2.868657606821719241e+02
-3.999999999999994671e-01 2.899039293196292988e+02
0.000000000000000000e+00 2.906816471723926725e+02
4.000000000000003553e-01 2.899025882692275786e+02
8.000000000000007105e-01 2.868663473610033634e+02
1.200000000000001066e+00 2.801780059228172490e+02
1.600000000000001421e+00 2.686322109558145144e+02
2.000000000000000000e+00 2.509862021339952207e+02
2.400000000000000355e+00 2.273142463169942289e+02
2.800000000000000711e+00 1.990299486125851729e+02
3.200000000000001066e+00 1.678992502018036816e+02
3.600000000000001421e+00 1.357047630090655446e+02
4.000000000000000000e+00 1.052050745298683836e+02
4.400000000000000355e+00 7.884447935806895202e+01
4.800000000000000711e+00 5.770643570256201116e+01
5.200000000000001066e+00 4.108040649442516923e+01
5.600000000000001421e+00 2.735803396937467014e+01
6.000000000000000000e+00 1.570773763732672812e+01
6.400000000000000355e+00 7.271649371591839994e+00
6.800000000000000711e+00 2.651543370615703221e+00
7.200000000000001066e+00 7.197118443748879990e-01
7.600000000000001421e+00 1.311837922909999954e-01
8.000000000000000000e+00 1.376888185318143540e-02
