# #PT (1/2pi)dN/dYptdpt
7.775651001416666874e-03 5.625847059910033749e+02
4.105764502516666414e-02 5.490187376249082263e+02
1.012996176725833308e-01 4.851785519370040447e+02
1.891624605169999751e-01 3.559256811729095489e+02
3.056352268125833160e-01 2.187438807865752892e+02
4.521113856178332613e-01 1.184330594943747599e+02
6.304930188844166672e-01 5.749940226127987586e+01
8.433523806682499124e-01 2.497104671722133062e+01
1.094190206847999836e+00 9.598880196755800398e+00
1.387867309027499996e+00 3.243797290658489541e+00
1.731373241620749903e+00 9.417339927172480030e-01
2.135324518894083035e+00 2.272422601960160660e-01
2.617293264146166365e+00 4.308593816984349761e-02
3.210890275540499772e+00 5.764932387377781284e-03
4.002173797723832749e+00 4.161090022140060611e-04
