# #PT (1/2pi)dN/dYptdpt
7.775651001416666874e-03 2.932443057767698313e+00
4.105764502516666414e-02 2.930474867884086176e+00
1.012996176725833308e-01 2.920275801209931466e+00
1.891624605169999751e-01 2.886920390873116915e+00
3.056352268125833160e-01 2.801711377640074385e+00
4.521113856178332613e-01 2.610047426532935866e+00
6.304930188844166672e-01 2.249414266142489627e+00
8.433523806682499124e-01 1.716290617861824463e+00
1.094190206847999836e+00 1.112257707408609742e+00
1.387867309027499996e+00 5.944223131195995879e-01
1.731373241620749903e+00 2.558105896996014650e-01
2.135324518894083035e+00 8.627462585986227228e-02
2.617293264146166365e+00 2.179224453840929512e-02
3.210890275540499772e+00 3.748409095277866615e-03
4.002173797723832749e+00 3.446076583515600921e-04
