# #PT (1/2pi)dN/dYptdpt
7.775651001416666874e-03 2.789414778831195818e+01
4.105764502516666414e-02 2.782356436612206352e+01
1.012996176725833308e-01 2.745002892352008672e+01
1.891624605169999751e-01 2.625258106832778182e+01
3.056352268125833160e-01 2.339353816202523717e+01
4.521113856178332613e-01 1.842494084514860830e+01
6.304930188844166672e-01 1.231317594857919673e+01
8.433523806682499124e-01 6.920309090456874479e+00
1.094190206847999836e+00 3.271637040262526330e+00
1.387867309027499996e+00 1.305805384640817968e+00
1.731373241620749903e+00 4.345805625090988777e-01
2.135324518894083035e+00 1.174811901720988899e-01
2.617293264146166365e+00 2.452945075406456898e-02
3.210890275540499772e+00 3.569700913723483898e-03
4.002173797723832749e+00 2.780620121079682011e-04
